#START7777
#--------------------------------------------------------------------------------------------------
#  S     : 장비구분 (1:안개관측망(먼저 설치), 2:첨단화장비)
#  VIS1  : 1분 평균 시정(m)  : 샘플링은 1초간격(첨단화)
#  VIS10 : 10분 평균 시정(m) : 안개관측망에서만 있음
#  WW1   : 1분 순간 현천(코드)  : 샘플링은 1초간격(첨단화)
#  WW15  : 15분 평균 현천(코드) : 안개관측망에서만 있음
#--------------------------------------------------------------------------------------------------
# 현천코드 : 0~2(맑음), 4(연무), 10(박무), 30(안개), 40~42(비), 50~59(안개비), 60~68(비), 71~76(눈)
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI,STN, LON., LAT.,S,VIS1,VIS10,WW1,WW15,=
#        KST, ID,(deg),(deg), , (m),  (m),   ,    ,=
202412140735,   90,128.56472778, 38.25085068,1, 46785,  -999,     0,  -999,=
202412140735,   95,127.30419922, 38.14786911,2, 16527,  -999,     0,  -999,=
202412140735,   98,127.06069946, 37.90187836,2, 15284,  -999,    71,  -999,=
202412140735,   99,126.76647949, 37.88589096,2, 20743,  -999,     0,  -999,=
202412140735,  100,128.71833801, 37.67713165,2, 32797,  -999,     0,  -999,=
202412140735,  101,127.73570251, 37.90261841,2, 17790,  -999,     0,  -999,=
202412140735,  102,124.71237183, 37.97396088,2, 47935,  -999,     0,  -999,=
202412140735,  104,128.85534668, 37.80456161,1, 33496,  -999,     0,  -999,=
202412140735,  105,128.89099121, 37.75146866,2, 37204,  -999,     0,  -999,=
202412140735,  106,129.12432861, 37.50709152,2, 35065,  -999,     0,  -999,=
202412140735,  108,126.96579742, 37.57141876,1, 24674,  -999,     0,  -999,=
202412140735,  112,126.62490082, 37.47771835,1, 26930,  -999,     0,  -999,=
202412140735,  114,127.94658661, 37.33749008,1, 25550,  -999,     0,  -999,=
202412140735,  115,130.89863586, 37.48128891,1, 50000,  -999,     0,  -999,=
202412140735,  119,126.98300171, 37.25746155,2, 38500,  -999,  -999,  -999,=
202412140735,  121,128.45742798, 37.18125916,1, 20430,  -999,     0,  -999,=
202412140735,  127,127.95249939, 36.97045135,2, 23411,  -999,     0,  -999,=
202412140735,  129,126.49389648, 36.77658081,2, 23265,  -999,  -999,  -999,=
202412140735,  131,127.44065857, 36.63924026,2, 36228,  -999,     0,  -999,=
202412140735,  133,127.37210083, 36.37199020,1, 30610,  -999,     0,  -999,=
202412140735,  135,127.99458313, 36.22024918,2, 16199,  -999,     0,  -999,=
202412140735,  136,128.70733643, 36.57292938,2, 40884,  -999,     0,  -999,=
202412140735,  137,128.15740967, 36.40837097,2, 42086,  -999,     0,  -999,=
202412140735,  138,129.38002014, 36.03200912,2, 50000,  -999,     0,  -999,=
202412140735,  143,128.65295410, 35.87797165,2, 37374,  -999,     0,  -999,=
202412140735,  146,127.11717987, 35.84091949,2, 13418,  -999,     0,  -999,=
202412140735,  155,128.57281494, 35.17018890,1, 37300,  -999,     0,  -999,=
202412140735,  156,126.89156342, 35.17293930,1, 18644,  -999,     0,  -999,=
202412140735,  159,129.03202820, 35.10467911,1, 39698,  -999,     0,  -999,=
202412140735,  165,126.38150787, 34.81732178,1, 24480,  -999,    40,  -999,=
202412140735,  168,127.74063110, 34.73928833,2, 37123,  -999,     0,  -999,=
202412140735,  169,125.45104980, 34.68719101,2, 47373,  -999,     0,  -999,=
202412140735,  170,126.70182037, 34.39590073,1, 31349,  -999,     0,  -999,=
202412140735,  172,126.59899902, 35.34823990,2,  4270,  -999,    61,  -999,=
202412140735,  174,127.36940002, 35.02040100,1, 27475,  -999,     0,  -999,=
202412140735,  177,126.68772125, 36.65758896,2, 27370,  -999,     0,  -999,=
202412140735,  184,126.52969360, 33.51411057,1, 50000,  -999,     0,  -999,=
202412140735,  189,126.56529999, 33.24615860,1, 50000,  -999,     0,  -999,=
202412140735,  192,128.04003906, 35.16378021,2, 40286,  -999,     0,  -999,=
202412140735,  201,126.44634247, 37.70738983,1, 38633,  -999,     0,  -999,=
202412140735,  202,127.49446106, 37.48862839,1, 16645,  -999,     0,  -999,=
202412140735,  203,127.48420715, 37.26398849,1, 33270,  -999,     0,  -999,=
202412140735,  211,128.16714478, 38.05986023,2, 25408,  -999,     0,  -999,=
202412140735,  216,128.98928833, 37.17037964,1, 49346,  -999,     0,  -999,=
202412140735,  217,128.64590454, 37.38148880,2, 19967,  -999,     0,  -999,=
202412140735,  221,128.19433594, 37.15927887,1, 18772,  -999,     0,  -999,=
202412140735,  226,127.73415375, 36.48760986,1, 14882,  -999,     0,  -999,=
202412140735,  235,126.55744171, 36.32723999,1, 23795,  -999,     0,  -999,=
202412140735,  236,126.92079163, 36.27241898,1,  9759,  -999,     1,  -999,=
202412140735,  238,127.48175049, 36.10562897,1,  9772,  -999,     1,  -999,=
202412140735,  239,127.24437714, 36.48522186,2, 15700,  -999,     0,  -999,=
202412140735,  243,126.71656799, 35.72961044,1, 13580,  -999,     0,  -999,=
202412140735,  244,127.28556061, 35.61203003,1, 19710,  -999,     0,  -999,=
202412140735,  245,126.83904266, 35.56336975,1,  7100,  -999,    10,  -999,=
202412140735,  247,127.39652252, 35.42129898,1,  8752,  -999,    10,  -999,=
202412140735,  248,127.52030945, 35.65695953,1, 20851,  -999,     0,  -999,=
202412140735,  251,126.69699860, 35.42660904,2, 10964,  -999,    31,  -999,=
202412140735,  252,126.47783661, 35.28366089,2,  1892,  -999,    71,  -999,=
202412140735,  253,128.89074707, 35.22980881,2, 37759,  -999,     0,  -999,=
202412140735,  254,127.12860107, 35.37131119,2,  8696,  -999,     0,  -999,=
202412140735,  255,128.67260742, 35.22655106,2, 50000,  -999,     0,  -999,=
202412140735,  257,129.02009583, 35.30736923,2, 47047,  -999,     0,  -999,=
202412140735,  258,127.21225739, 34.76335144,2, 33385,  -999,  -999,  -999,=
202412140735,  259,126.78408051, 34.64456940,2, 23696,  -999,     0,  -999,=
202412140735,  260,126.91950989, 34.68886185,1, 22568,  -999,     0,  -999,=
202412140735,  261,126.56906891, 34.55374908,1, 12600,  -999,     0,  -999,=
202412140735,  262,127.27571869, 34.61825943,1, 27725,  -999,     0,  -999,=
202412140735,  263,128.28811646, 35.32257843,2, 25758,  -999,     0,  -999,=
202412140735,  264,127.74537659, 35.51137924,2, 22415,  -999,     0,  -999,=
202412140735,  266,127.69139862, 34.94340134,2, 38810,  -999,     0,  -999,=
202412140735,  268,126.25846100, 34.47296143,2, 50000,  -999,     0,  -999,=
202412140735,  269,126.03050232, 35.34690094,2, 20000,  -999,     0,  -999,=
202412140735,  271,128.91448975, 36.94361115,1, 35150,  -999,     0,  -999,=
202412140735,  272,128.51687622, 36.87182999,1, 30342,  -999,     0,  -999,=
202412140735,  273,128.14878845, 36.62726974,1, 36700,  -999,     0,  -999,=
202412140735,  276,129.04005432, 36.43510056,2, 35660,  -999,     0,  -999,=
202412140735,  277,129.40925598, 36.53337097,1, 47371,  -999,     0,  -999,=
202412140735,  278,128.68864441, 36.35609818,1, 23978,  -999,     0,  -999,=
202412140735,  279,128.32055664, 36.13055038,1, 43660,  -999,     0,  -999,=
202412140735,  281,128.95140076, 35.97742081,1, 47890,  -999,     0,  -999,=
202412140735,  283,129.20123291, 35.81747055,2, 37539,  -999,     0,  -999,=
202412140735,  284,127.90989685, 35.66738892,1, 32430,  -999,     0,  -999,=
202412140735,  285,128.16993713, 35.56504822,1, 32608,  -999,     0,  -999,=
202412140735,  288,128.74412537, 35.49147034,1, 49930,  -999,     0,  -999,=
202412140735,  289,127.87909698, 35.41299820,1, 41191,  -999,     0,  -999,=
202412140735,  294,128.60458374, 34.88817978,1, 47900,  -999,     0,  -999,=
202412140735,  295,127.92640686, 34.81661987,1, 45696,  -999,     0,  -999,=
202412140735,  301,126.11637878, 35.09511185,2, 30933,  -999,     0,  -999,=
202412140735,  303,125.09722137, 34.07249832,2, 41910,  -999,     0,  -999,=
202412140735,  309,126.68659973, 37.94639969,2, 10561,  -999,     0,  -999,=
202412140735,  328,126.40599823, 33.24940109,2, 31682,  -999,     0,  -999,=
202412140735,  400,127.08165741, 37.49819946,2, 26244,  -999,     0,  -999,=
202412140735,  410,126.91745758, 37.49330139,2, 30635,  -999,     0,  -999,=
202412140735,  418,126.93904114, 37.52489090,2, 26180,  -999,    51,  -999,=
202412140735,  494,127.24063873, 36.53152084,2, 30130,  -999,     0,  -999,=
202412140735,  497,128.85147095, 37.57516098,2, 16640,  -999,     0,  -999,=
202412140735,  501,125.69818878, 37.65890884,2, 21325,  -999,     0,  -999,=
202412140735,  504,127.18073273, 37.87034988,2, 16890,  -999,     0,  -999,=
202412140735,  513,126.01426697, 37.06550980,2, 22900,  -999,     0,  -999,=
202412140735,  515,126.77388763, 37.08452988,2, 29799,  -999,     0,  -999,=
202412140735,  516,127.25016785, 37.00371170,1, 13328,  -999,     0,  -999,=
202412140735,  517,128.47523499, 38.38510132,2, 41992,  -999,    40,  -999,=
202412140735,  518,128.12109375, 38.26958084,2, 24850,  -999,     0,  -999,=
202412140735,  522,127.98380280, 37.78712082,2, 10460,  -999,     0,  -999,=
202412140735,  523,128.82139587, 37.89847946,2, 39780,  -999,     0,  -999,=
202412140735,  525,128.37724304, 37.61233902,2,  8859,  -999,     0,  -999,=
202412140735,  526,128.39468384, 37.37747955,2, 28159,  -999,     0,  -999,=
202412140735,  527,128.64126587, 37.21107864,2, 17443,  -999,     0,  -999,=
202412140735,  529,129.28584290, 37.14155960,2, 50000,  -999,     0,  -999,=
202412140735,  530,130.81179810, 37.51509857,2, 19780,  -999,     0,  -999,=
202412140735,  531,127.55219269, 37.89807129,2, 15805,  -999,     0,  -999,=
202412140735,  532,127.07348633, 37.73476028,2, 23100,  -999,     0,  -999,=
202412140735,  534,127.61058044, 37.12099838,2, 14685,  -999,     0,  -999,=
202412140735,  535,128.18264771, 37.71701050,2, 14095,  -999,    71,  -999,=
202412140735,  536,127.97241974, 37.48759842,2, 19173,  -999,     0,  -999,=
202412140735,  537,128.84588623, 37.48323059,2, 15855,  -999,     0,  -999,=
202412140735,  540,126.89199829, 37.63729858,2, 29333,  -999,     0,  -999,=
202412140735,  541,127.15055084, 37.63404846,2, 11071,  -999,     0,  -999,=
202412140735,  542,127.38017273, 37.68413925,2, 21785,  -999,    71,  -999,=
202412140735,  543,126.54958344, 37.49900055,2, 25701,  -999,     0,  -999,=
202412140735,  545,126.83847809, 37.28102875,2, 17936,  -999,     0,  -999,=
202412140735,  546,127.25920105, 37.43529129,2, 31896,  -999,     0,  -999,=
202412140735,  548,127.63955688, 37.26882935,2, 28460,  -999,     0,  -999,=
202412140735,  549,127.22177887, 37.27011108,2, 14882,  -999,     0,  -999,=
202412140735,  550,127.05271149, 37.16930008,2, 13575,  -999,     0,  -999,=
202412140735,  551,127.10878754, 36.98768997,2, 14613,  -999,     0,  -999,=
202412140735,  552,127.42449951, 38.27219009,2, 19207,  -999,     0,  -999,=
202412140735,  554,128.43713379, 38.21438980,2, 15800,  -999,     0,  -999,=
202412140735,  555,127.69091797, 38.08356094,2, 16255,  -999,     0,  -999,=
202412140735,  556,127.98526764, 38.09798813,2, 16221,  -999,     0,  -999,=
202412140735,  557,128.31887817, 37.95365906,2, 24049,  -999,     0,  -999,=
202412140735,  561,128.15275574, 37.58219147,2, 14926,  -999,     0,  -999,=
202412140735,  563,128.68280029, 37.46355820,2, 38554,  -999,     0,  -999,=
202412140735,  565,126.77794647, 37.39154053,2, 17988,  -999,     0,  -999,=
202412140735,  566,128.81924438, 37.85155106,2, 50000,  -999,     0,  -999,=
202412140735,  569,127.15698242, 37.58224106,2, 20198,  -999,     0,  -999,=
202412140735,  570,126.64232635, 37.62319946,2, 15288,  -999,     0,  -999,=
202412140735,  571,126.82093811, 37.19525146,2, 48300,  -999,     0,  -999,=
202412140735,  572,127.12476349, 37.42092896,2, 25851,  -999,     0,  -999,=
202412140735,  579,128.91329956, 37.36684036,2, 45312,  -999,     0,  -999,=
202412140735,  580,129.02888489, 37.61344910,2, 37146,  -999,     0,  -999,=
202412140735,  581,128.77441406, 37.11663055,2, 20887,  -999,     0,  -999,=
202412140735,  583,128.15510559, 37.46463013,2, 14790,  -999,     0,  -999,=
202412140735,  586,127.87693787, 38.03208923,2, 27709,  -999,     0,  -999,=
202412140735,  588,127.64289093, 37.79066086,2, 14892,  -999,     0,  -999,=
202412140735,  589,126.79026031, 37.70235825,2, 13792,  -999,     0,  -999,=
202412140735,  590,127.00248718, 37.44028091,2, 46915,  -999,     0,  -999,=
202412140735,  593,128.54069519, 38.00730896,2, 30540,  -999,     0,  -999,=
202412140735,  598,126.99050140, 37.83118057,2, 22274,  -999,     0,  -999,=
202412140735,  601,128.36689758, 36.98551941,2, 20497,  -999,     0,  -999,=
202412140735,  602,127.46250153, 36.86339951,2, 19725,  -999,     0,  -999,=
202412140735,  603,127.77758026, 36.81612015,2, 15050,  -999,     0,  -999,=
