#START7777
#--------------------------------------------------------------------------------------------------
#  CH_LOW : 하층 운고(m) : 7620m 이면 구름없음
#  CH_MID : 중층 운고(m)
#  CH_TOP : 상층 운고(m)
#  CA_TOT : 전운량(%)
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI,  STN,        LON.,       LAT., CH_LOW,CH_MID,CH_TOP,CA_TOT,=
#        KST,   ID,       (deg),      (deg),    (m),   (m),   (m),   1/8,=
202412150636,   90,128.56472778, 38.25085068,  4645,  7620,  7620, 5.0,=
202412150636,   93,127.75443268, 37.94738007,   632,  7620,  7620, 6.0,=
202412150636,   95,127.30419922, 38.14786911,  7620,  7620,  7620, 0.0,=
202412150636,   98,127.06069946, 37.90187836,  7620,  7620,  7620, 0.0,=
202412150636,   99,126.76647949, 37.88589096,  7620,  7620,  7620, 0.0,=
202412150636,  100,128.71833801, 37.67713165,   883,  7620,  7620, 7.0,=
202412150636,  102,124.71237183, 37.97396088,  1280,  7620,  7620, 7.0,=
202412150636,  104,128.85534668, 37.80456161,  7620,  7620,  7620, 0.0,=
202412150636,  105,128.89099121, 37.75146866,  1578,  1679,  7620, 2.0,=
202412150636,  106,129.12432861, 37.50709152,  1440,  1591,  7620, 6.0,=
202412150636,  108,126.96579742, 37.57141876,  7620,  7620,  7620, 2.0,=
202412150636,  112,126.62490082, 37.47771835,  7620,  7620,  7620, 2.0,=
202412150636,  114,127.94658661, 37.33749008,   926,  7620,  7620, 7.0,=
202412150636,  115,130.89863586, 37.48128891,  7620,  7620,  7620, 7.0,=
202412150636,  119,126.98300171, 37.25746155,  7620,  7620,  7620, 7.0,=
202412150636,  121,128.45742798, 37.18125916,  1158,  1859,  7620, 3.0,=
202412150636,  127,127.95249939, 36.97045135,   335,  7620,  7620, 8.0,=
202412150636,  129,126.49389648, 36.77658081,  2395,  7620,  7620, 2.0,=
202412150636,  130,129.41278076, 36.99176025,  7620,  7620,  7620, 0.0,=
202412150636,  131,127.44065857, 36.63924026,   152,   792,  7620, 8.0,=
202412150636,  133,127.37210083, 36.37199020,   592,  7620,  7620, 8.0,=
202412150636,  135,127.99458313, 36.22024918,   365,  7620,  7620, 8.0,=
202412150636,  136,128.70733643, 36.57292938,  1376,  7620,  7620, 8.0,=
202412150636,  137,128.15740967, 36.40837097,   579,   743,   902, 6.0,=
202412150636,  138,129.38002014, 36.03200912,  7620,  7620,  7620, 1.0,=
202412150636,  140,126.76135254, 36.00529861,  7620,  7620,  7620, 1.0,=
202412150636,  143,128.65295410, 35.87797165,  1191,  7574,  7620, 8.0,=
202412150636,  146,127.11717987, 35.84091949,  7620,  7620,  7620, 3.0,=
202412150636,  152,129.33468628, 35.58237076,  7620,  7620,  7620, 0.0,=
202412150636,  155,128.57281494, 35.17018890,  7620,  7620,  7620, 0.0,=
202412150636,  156,126.89156342, 35.17293930,  1831,  7620,  7620, 7.0,=
202412150636,  159,129.03202820, 35.10467911,  7620,  7620,  7620, 0.0,=
202412150636,  162,128.43560791, 34.84540939,   759,  7564,  7620, 5.0,=
202412150636,  165,126.38150787, 34.81732178,  1796,  7620,  7620, 7.0,=
202412150636,  168,127.74063110, 34.73928833,  7620,  7620,  7620, 2.0,=
202412150636,  169,125.45104980, 34.68719101,  1627,  7620,  7620, 4.0,=
202412150636,  170,126.70182037, 34.39590073,  1861,  7620,  7620, 5.0,=
202412150636,  172,126.59899902, 35.34823990,  1625,  7620,  7620, 8.0,=
202412150636,  174,127.36940002, 35.02040100,  7620,  7620,  7620, 4.0,=
202412150636,  177,126.68772125, 36.65758896,   560,  7620,  7620, 5.0,=
202412150636,  181,127.38465881, 36.64001846,   829,  7620,  7620, 1.0,=
202412150636,  184,126.52969360, 33.51411057,  1792,  7620,  7620, 8.0,=
202412150636,  185,126.16282654, 33.29381943,  1874,  7620,  7620, 1.0,=
202412150636,  188,126.88020325, 33.38676834,  2232,  7620,  7620, 3.0,=
202412150636,  189,126.56529999, 33.24615860,  2173,  7620,  7620, 1.0,=
