#START7777
#--------------------------------------------------------------------------------------------------
#  S     : 장비구분 (1:안개관측망(먼저 설치), 2:첨단화장비)
#  VIS1  : 1분 평균 시정(m)  : 샘플링은 1초간격(첨단화)
#  VIS10 : 10분 평균 시정(m) : 안개관측망에서만 있음
#  WW1   : 1분 순간 현천(코드)  : 샘플링은 1초간격(첨단화)
#  WW15  : 15분 평균 현천(코드) : 안개관측망에서만 있음
#--------------------------------------------------------------------------------------------------
# 현천코드 : 0~2(맑음), 4(연무), 10(박무), 30(안개), 40~42(비), 50~59(안개비), 60~68(비), 71~76(눈)
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI,STN, LON., LAT.,S,VIS1,VIS10,WW1,WW15,=
#        KST, ID,(deg),(deg), , (m),  (m),   ,    ,=
202412151919,   90,128.56472778, 38.25085068,1, 50000,  -999,     0,  -999,=
202412151919,   95,127.30419922, 38.14786911,2, 50000,  -999,     0,  -999,=
202412151919,   98,127.06069946, 37.90187836,2, 40558,  -999,     0,  -999,=
202412151919,   99,126.76647949, 37.88589096,2, 50000,  -999,     0,  -999,=
202412151919,  100,128.71833801, 37.67713165,2, 49948,  -999,     0,  -999,=
202412151919,  101,127.73570251, 37.90261841,2, 50000,  -999,     0,  -999,=
202412151919,  102,124.71237183, 37.97396088,2, 50000,  -999,     0,  -999,=
202412151919,  104,128.85534668, 37.80456161,1, 47575,  -999,     0,  -999,=
202412151919,  105,128.89099121, 37.75146866,2, 50000,  -999,     0,  -999,=
202412151919,  106,129.12432861, 37.50709152,2, 50000,  -999,     0,  -999,=
202412151919,  108,126.96579742, 37.57141876,1, 42862,  -999,     0,  -999,=
202412151919,  112,126.62490082, 37.47771835,1, 49160,  -999,     0,  -999,=
202412151919,  114,127.94658661, 37.33749008,1, 48630,  -999,     0,  -999,=
202412151919,  115,130.89863586, 37.48128891,1, 50000,  -999,     0,  -999,=
202412151919,  119,126.98300171, 37.25746155,2, 50000,  -999,  -999,  -999,=
202412151919,  121,128.45742798, 37.18125916,1, 50000,  -999,     0,  -999,=
202412151919,  127,127.95249939, 36.97045135,2, 38341,  -999,     0,  -999,=
202412151919,  129,126.49389648, 36.77658081,2, 45722,  -999,  -999,  -999,=
202412151919,  131,127.44065857, 36.63924026,2, 40772,  -999,     0,  -999,=
202412151919,  133,127.37210083, 36.37199020,1, 43070,  -999,     0,  -999,=
202412151919,  135,127.99458313, 36.22024918,2, 42431,  -999,     0,  -999,=
202412151919,  136,128.70733643, 36.57292938,2, 45986,  -999,     0,  -999,=
202412151919,  137,128.15740967, 36.40837097,2, 39929,  -999,     0,  -999,=
202412151919,  138,129.38002014, 36.03200912,2, 43778,  -999,     0,  -999,=
202412151919,  143,128.65295410, 35.87797165,2, 47604,  -999,     0,  -999,=
202412151919,  146,127.11717987, 35.84091949,2, 24414,  -999,     0,  -999,=
202412151919,  155,128.57281494, 35.17018890,1, 43450,  -999,     0,  -999,=
202412151919,  156,126.89156342, 35.17293930,1, 29835,  -999,     0,  -999,=
202412151919,  159,129.03202820, 35.10467911,1, 37522,  -999,     0,  -999,=
202412151919,  165,126.38150787, 34.81732178,1, 41530,  -999,     0,  -999,=
202412151919,  168,127.74063110, 34.73928833,2, 34091,  -999,     0,  -999,=
202412151919,  169,125.45104980, 34.68719101,2, 40556,  -999,     0,  -999,=
202412151919,  170,126.70182037, 34.39590073,1, 49222,  -999,     0,  -999,=
202412151919,  172,126.59899902, 35.34823990,2, 42480,  -999,     0,  -999,=
202412151919,  174,127.36940002, 35.02040100,1, 30357,  -999,     0,  -999,=
202412151919,  177,126.68772125, 36.65758896,2, 50000,  -999,     0,  -999,=
202412151919,  184,126.52969360, 33.51411057,1, 50000,  -999,     0,  -999,=
202412151919,  189,126.56529999, 33.24615860,1, 45155,  -999,     0,  -999,=
202412151919,  192,128.04003906, 35.16378021,2, 41351,  -999,     0,  -999,=
202412151919,  201,126.44634247, 37.70738983,1, 50000,  -999,     0,  -999,=
202412151919,  202,127.49446106, 37.48862839,1, 39087,  -999,     0,  -999,=
202412151919,  203,127.48420715, 37.26398849,1, 50000,  -999,     0,  -999,=
202412151919,  211,128.16714478, 38.05986023,2, 36977,  -999,     0,  -999,=
202412151919,  212,127.88043213, 37.68360138,2, 41157,  -999,     0,  -999,=
202412151919,  216,128.98928833, 37.17037964,1, 43638,  -999,     0,  -999,=
202412151919,  217,128.64590454, 37.38148880,2, 43982,  -999,     0,  -999,=
202412151919,  221,128.19433594, 37.15927887,1, 40936,  -999,     0,  -999,=
202412151919,  226,127.73415375, 36.48760986,1, 38994,  -999,     0,  -999,=
202412151919,  232,127.29282379, 36.76216888,1, 34267,  -999,     0,  -999,=
202412151919,  235,126.55744171, 36.32723999,1, 35300,  -999,     0,  -999,=
202412151919,  236,126.92079163, 36.27241898,1, 27988,  -999,     0,  -999,=
202412151919,  238,127.48175049, 36.10562897,1, 33477,  -999,     0,  -999,=
202412151919,  239,127.24437714, 36.48522186,2, 16900,  -999,     0,  -999,=
202412151919,  243,126.71656799, 35.72961044,1, 45827,  -999,     0,  -999,=
202412151919,  244,127.28556061, 35.61203003,1, 38108,  -999,     0,  -999,=
202412151919,  245,126.83904266, 35.56336975,1, 24648,  -999,     0,  -999,=
202412151919,  247,127.39652252, 35.42129898,1, 25508,  -999,     0,  -999,=
202412151919,  248,127.52030945, 35.65695953,1, 50000,  -999,     0,  -999,=
202412151919,  251,126.69699860, 35.42660904,2, 50000,  -999,     0,  -999,=
202412151919,  252,126.47783661, 35.28366089,2, 47748,  -999,     0,  -999,=
202412151919,  253,128.89074707, 35.22980881,2, 36357,  -999,     0,  -999,=
202412151919,  254,127.12860107, 35.37131119,2, 41893,  -999,     0,  -999,=
202412151919,  255,128.67260742, 35.22655106,2, 50000,  -999,     0,  -999,=
202412151919,  257,129.02009583, 35.30736923,2, 36069,  -999,     0,  -999,=
202412151919,  258,127.21225739, 34.76335144,2, 48461,  -999,  -999,  -999,=
202412151919,  259,126.78408051, 34.64456940,2, 30193,  -999,     0,  -999,=
202412151919,  260,126.91950989, 34.68886185,1, 35132,  -999,     0,  -999,=
202412151919,  261,126.56906891, 34.55374908,1, 46020,  -999,     0,  -999,=
202412151919,  262,127.27571869, 34.61825943,1, 31413,  -999,     0,  -999,=
202412151919,  263,128.28811646, 35.32257843,2, 38240,  -999,     0,  -999,=
202412151919,  264,127.74537659, 35.51137924,2, 45368,  -999,     0,  -999,=
202412151919,  266,127.69139862, 34.94340134,2, 33065,  -999,     0,  -999,=
202412151919,  268,126.25846100, 34.47296143,2, 39495,  -999,     0,  -999,=
202412151919,  269,126.03050232, 35.34690094,2, 20000,  -999,     0,  -999,=
202412151919,  271,128.91448975, 36.94361115,1, 39423,  -999,     0,  -999,=
202412151919,  272,128.51687622, 36.87182999,1, 36768,  -999,     0,  -999,=
202412151919,  273,128.14878845, 36.62726974,1, 46358,  -999,     0,  -999,=
202412151919,  276,129.04005432, 36.43510056,2, 39878,  -999,     0,  -999,=
202412151919,  277,129.40925598, 36.53337097,1, 33472,  -999,     0,  -999,=
202412151919,  278,128.68864441, 36.35609818,1, 28180,  -999,     0,  -999,=
202412151919,  279,128.32055664, 36.13055038,1, 50000,  -999,     0,  -999,=
202412151919,  281,128.95140076, 35.97742081,1, 43132,  -999,    51,  -999,=
202412151919,  283,129.20123291, 35.81747055,2, 29966,  -999,     0,  -999,=
202412151919,  284,127.90989685, 35.66738892,1, 43390,  -999,     0,  -999,=
202412151919,  285,128.16993713, 35.56504822,1, 50000,  -999,     0,  -999,=
202412151919,  288,128.74412537, 35.49147034,1, 42340,  -999,     0,  -999,=
202412151919,  289,127.87909698, 35.41299820,1, 41044,  -999,     0,  -999,=
202412151919,  294,128.60458374, 34.88817978,1, 33069,  -999,     0,  -999,=
202412151919,  295,127.92640686, 34.81661987,1, 39462,  -999,     0,  -999,=
202412151919,  301,126.11637878, 35.09511185,2, 30415,  -999,     0,  -999,=
202412151919,  303,125.09722137, 34.07249832,2, 50000,  -999,     0,  -999,=
202412151919,  309,126.68659973, 37.94639969,2, 32628,  -999,     0,  -999,=
202412151919,  328,126.40599823, 33.24940109,2, 25163,  -999,     0,  -999,=
202412151919,  400,127.08165741, 37.49819946,2, 50000,  -999,     0,  -999,=
202412151919,  410,126.91745758, 37.49330139,2, 47263,  -999,     0,  -999,=
202412151919,  418,126.93904114, 37.52489090,2, 50000,  -999,    40,  -999,=
202412151919,  494,127.24063873, 36.53152084,2, 43990,  -999,     0,  -999,=
202412151919,  497,128.85147095, 37.57516098,2, 42180,  -999,     0,  -999,=
202412151919,  501,125.69818878, 37.65890884,2, 38465,  -999,     0,  -999,=
202412151919,  504,127.18073273, 37.87034988,2, 50000,  -999,     0,  -999,=
202412151919,  513,126.01426697, 37.06550980,2, 28010,  -999,     0,  -999,=
202412151919,  515,126.77388763, 37.08452988,2, 50000,  -999,     0,  -999,=
202412151919,  516,127.25016785, 37.00371170,1, 23771,  -999,     0,  -999,=
202412151919,  517,128.47523499, 38.38510132,2, 50000,  -999,     0,  -999,=
202412151919,  518,128.12109375, 38.26958084,2, 37090,  -999,     0,  -999,=
202412151919,  519,127.51940918, 38.07545090,2, 50000,  -999,     0,  -999,=
202412151919,  522,127.98380280, 37.78712082,2, 29400,  -999,     0,  -999,=
202412151919,  523,128.82139587, 37.89847946,2, 48745,  -999,     0,  -999,=
202412151919,  525,128.37724304, 37.61233902,2, 32362,  -999,     0,  -999,=
202412151919,  526,128.39468384, 37.37747955,2, 50000,  -999,     0,  -999,=
202412151919,  527,128.64126587, 37.21107864,2, 32731,  -999,     0,  -999,=
202412151919,  529,129.28584290, 37.14155960,2, 50000,  -999,     0,  -999,=
202412151919,  530,130.81179810, 37.51509857,2, 20000,  -999,     0,  -999,=
202412151919,  531,127.55219269, 37.89807129,2, 30285,  -999,     0,  -999,=
202412151919,  532,127.07348633, 37.73476028,2, 48200,  -999,    40,  -999,=
202412151919,  534,127.61058044, 37.12099838,2, 35255,  -999,     0,  -999,=
202412151919,  535,128.18264771, 37.71701050,2, 22960,  -999,     0,  -999,=
202412151919,  536,127.97241974, 37.48759842,2, 50000,  -999,     0,  -999,=
202412151919,  537,128.84588623, 37.48323059,2, 26060,  -999,     0,  -999,=
202412151919,  540,126.89199829, 37.63729858,2, 50000,  -999,     0,  -999,=
202412151919,  541,127.15055084, 37.63404846,2, 50000,  -999,     0,  -999,=
202412151919,  542,127.38017273, 37.68413925,2, 50000,  -999,     0,  -999,=
202412151919,  543,126.54958344, 37.49900055,2, 20399,  -999,     0,  -999,=
202412151919,  545,126.83847809, 37.28102875,2, 49450,  -999,     0,  -999,=
202412151919,  546,127.25920105, 37.43529129,2, 50000,  -999,     0,  -999,=
202412151919,  548,127.63955688, 37.26882935,2, 42260,  -999,     0,  -999,=
202412151919,  549,127.22177887, 37.27011108,2, 36276,  -999,     0,  -999,=
202412151919,  550,127.05271149, 37.16930008,2, 21419,  -999,    71,  -999,=
202412151919,  551,127.10878754, 36.98768997,2, 34815,  -999,     0,  -999,=
202412151919,  552,127.42449951, 38.27219009,2, 50000,  -999,     0,  -999,=
202412151919,  554,128.43713379, 38.21438980,2, 17100,  -999,     0,  -999,=
202412151919,  555,127.69091797, 38.08356094,2, 45690,  -999,     0,  -999,=
202412151919,  556,127.98526764, 38.09798813,2, 47056,  -999,     0,  -999,=
202412151919,  557,128.31887817, 37.95365906,2, 50000,  -999,     0,  -999,=
202412151919,  559,128.39727783, 37.77804947,2, 48532,  -999,     0,  -999,=
202412151919,  561,128.15275574, 37.58219147,2, 38132,  -999,     0,  -999,=
202412151919,  563,128.68280029, 37.46355820,2, 50000,  -999,     0,  -999,=
202412151919,  565,126.77794647, 37.39154053,2, 49282,  -999,     0,  -999,=
202412151919,  566,128.81924438, 37.85155106,2, 50000,  -999,     0,  -999,=
202412151919,  569,127.15698242, 37.58224106,2, 29301,  -999,     0,  -999,=
202412151919,  570,126.64232635, 37.62319946,2, 38561,  -999,     0,  -999,=
202412151919,  571,126.82093811, 37.19525146,2, 50000,  -999,     0,  -999,=
202412151919,  572,127.12476349, 37.42092896,2, 48496,  -999,     0,  -999,=
202412151919,  579,128.91329956, 37.36684036,2, 50000,  -999,     0,  -999,=
202412151919,  580,129.02888489, 37.61344910,2, 50000,  -999,     0,  -999,=
202412151919,  581,128.77441406, 37.11663055,2, 39968,  -999,     0,  -999,=
202412151919,  583,128.15510559, 37.46463013,2, 40520,  -999,     0,  -999,=
202412151919,  586,127.87693787, 38.03208923,2, 50000,  -999,     0,  -999,=
202412151919,  588,127.64289093, 37.79066086,2, 41895,  -999,     0,  -999,=
202412151919,  589,126.79026031, 37.70235825,2, 20000,  -999,     0,  -999,=
202412151919,  590,127.00248718, 37.44028091,2, 50000,  -999,     0,  -999,=
202412151919,  593,128.54069519, 38.00730896,2, 50000,  -999,     0,  -999,=
202412151919,  598,126.99050140, 37.83118057,2, 50000,  -999,     0,  -999,=
202412151919,  601,128.36689758, 36.98551941,2, 34465,  -999,     0,  -999,=
202412151919,  602,127.46250153, 36.86339951,2, 34497,  -999,     0,  -999,=
202412151919,  603,127.77758026, 36.81612015,2, 37660,  -999,     0,  -999,=
202412151919,  604,127.59654999, 36.29993820,2, 30195,  -999,     0,  -999,=
202412151919,  605,127.75499725, 36.15999985,2, 23480,  -999,     0,  -999,=
202412151919,  606,126.38807678, 37.01060867,2, 49995,  -999,     0,  -999,=
202412151919,  609,126.35623169, 36.33795929,2, 16999,  -999,     0,  -999,=
202412151919,  610,126.44236755, 36.52003098,2, 32990,  -999,     0,  -999,=
202412151919,  611,127.28056335, 36.56666946,2, 10626,  -999,     0,  -999,=
202412151919,  612,127.13645935, 36.48284149,2, 42101,  -999,     0,  -999,=
202412151919,  614,126.70410919, 36.06248093,2, 23207,  -999,     0,  -999,=
202412151919,  615,127.10814667, 36.21163940,2, 20015,  -999,     0,  -999,=
202412151919,  616,126.61739349, 36.88935852,2, 38690,  -999,     0,  -999,=
202412151919,  617,127.15609741, 36.87817001,2, 36258,  -999,     0,  -999,=
202412151919,  618,126.77906036, 36.42370987,2, 50000,  -999,     0,  -999,=
202412151919,  619,127.70240784, 36.92296982,2, 35320,  -999,     0,  -999,=
202412151919,  623,127.56199646, 36.79560089,2, 30375,  -999,     0,  -999,=
202412151919,  624,127.65709686, 36.62435913,2, 38417,  -999,     0,  -999,=
202412151919,  628,126.81436920, 36.74213028,2, 50000,  -999,     0,  -999,=
202412151919,  630,127.79968262, 37.04565811,2, 33411,  -999,     0,  -999,=
202412151919,  634,126.86535645, 36.84577942,2, 48320,  -999,     0,  -999,=
202412151919,  635,126.86023712, 36.13190079,2, 38562,  -999,  -997,  -999,=
202412151919,  641,127.52388000, 36.54610062,2, 27400,  -999,     0,  -999,=
202412151919,  642,127.39585876, 36.29129028,2, 43520,  -999,     0,  -999,=
202412151919,  644,127.09004211, 36.13661957,2,  1598,  -999,     4,  -999,=
202412151919,  652,127.07266998, 37.98997879,2, 42414,  -999,     0,  -999,=
202412151919,  658,126.12142944, 36.76829910,2, 10684,  -999,     0,  -999,=
202412151919,  661,128.40191650, 38.54251099,2, 20000,  -999,     0,  -999,=
202412151919,  664,126.45838165, 37.22468185,2, 18420,  -999,     0,  -999,=
