#START7777
#--------------------------------------------------------------------------------------------------
#  CH_LOW : 하층 운고(m) : 7620m 이면 구름없음
#  CH_MID : 중층 운고(m)
#  CH_TOP : 상층 운고(m)
#  CA_TOT : 전운량(%)
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI,  STN,        LON.,       LAT., CH_LOW,CH_MID,CH_TOP,CA_TOT,=
#        KST,   ID,       (deg),      (deg),    (m),   (m),   (m),   1/8,=
202412151919,   90,128.56472778, 38.25085068,  7620,  7620,  7620, 0.0,=
202412151919,   93,127.75443268, 37.94738007,  7620,  7620,  7620, 0.0,=
202412151919,   95,127.30419922, 38.14786911,  7620,  7620,  7620, 0.0,=
202412151919,   98,127.06069946, 37.90187836,  7620,  7620,  7620, 0.0,=
202412151919,   99,126.76647949, 37.88589096,  7620,  7620,  7620, 0.0,=
202412151919,  100,128.71833801, 37.67713165,   975,  7620,  7620, 1.0,=
202412151919,  102,124.71237183, 37.97396088,  1432,  7620,  7620, 7.0,=
202412151919,  104,128.85534668, 37.80456161,  7620,  7620,  7620, 0.0,=
202412151919,  105,128.89099121, 37.75146866,  7620,  7620,  7620, 0.0,=
202412151919,  106,129.12432861, 37.50709152,  7620,  7620,  7620, 0.0,=
202412151919,  108,126.96579742, 37.57141876,  7620,  7620,  7620, 1.0,=
202412151919,  112,126.62490082, 37.47771835,  7620,  7620,  7620, 0.0,=
202412151919,  114,127.94658661, 37.33749008,  7620,  7620,  7620, 0.0,=
202412151919,  115,130.89863586, 37.48128891,  1514,  1716,  7620, 8.0,=
202412151919,  119,126.98300171, 37.25746155,  7620,  7620,  7620, 1.0,=
202412151919,  121,128.45742798, 37.18125916,  1463,  7620,  7620, 3.0,=
202412151919,  127,127.95249939, 36.97045135,  7620,  7620,  7620, 1.0,=
202412151919,  129,126.49389648, 36.77658081,  1484,  7620,  7620, 7.0,=
202412151919,  130,129.41278076, 36.99176025,  7620,  7620,  7620, 0.0,=
202412151919,  131,127.44065857, 36.63924026,  1097,  1524,  7620, 7.0,=
202412151919,  133,127.37210083, 36.37199020,  1360,  7620,  7620, 6.0,=
202412151919,  135,127.99458313, 36.22024918,   853,  7620,  7620, 7.0,=
202412151919,  136,128.70733643, 36.57292938,  7620,  7620,  7620, 0.0,=
202412151919,  137,128.15740967, 36.40837097,  1066,  7620,  7620, 1.0,=
202412151919,  138,129.38002014, 36.03200912,  1517,  7620,  7620, 7.0,=
202412151919,  140,126.76135254, 36.00529861,  1330,  7620,  7620, 8.0,=
202412151919,  143,128.65295410, 35.87797165,  1532,  7620,  7620, 2.0,=
202412151919,  146,127.11717987, 35.84091949,  1536,  7620,  7620, 2.0,=
202412151919,  152,129.33468628, 35.58237076,  1483,  1810,  7620, 7.0,=
202412151919,  155,128.57281494, 35.17018890,  1772,  7620,  7620, 7.0,=
202412151919,  156,126.89156342, 35.17293930,  7620,  7620,  7620, 4.0,=
202412151919,  159,129.03202820, 35.10467911,  7620,  7620,  7620, 5.0,=
202412151919,  162,128.43560791, 34.84540939,  7620,  7620,  7620, 1.0,=
202412151919,  165,126.38150787, 34.81732178,  7620,  7620,  7620, 1.0,=
202412151919,  168,127.74063110, 34.73928833,  7620,  7620,  7620, 1.0,=
202412151919,  169,125.45104980, 34.68719101,  1561,  7620,  7620, 2.0,=
202412151919,  170,126.70182037, 34.39590073,  7620,  7620,  7620, 2.0,=
202412151919,  172,126.59899902, 35.34823990,  1686,  7620,  7620, 2.0,=
202412151919,  174,127.36940002, 35.02040100,  7620,  7620,  7620, 4.0,=
202412151919,  177,126.68772125, 36.65758896,  1452,  7568,  7620, 2.0,=
202412151919,  181,127.38465881, 36.64001846,  1608,  7620,  7620, 3.0,=
202412151919,  184,126.52969360, 33.51411057,  1326,  7620,  7620, 8.0,=
202412151919,  185,126.16282654, 33.29381943,  1255,  7620,  7620, 8.0,=
202412151919,  188,126.88020325, 33.38676834,  1592,  7620,  7620, 7.0,=
202412151919,  189,126.56529999, 33.24615860,  7620,  7620,  7620, 2.0,=
202412151919,  192,128.04003906, 35.16378021,  1828,  7620,  7620, 8.0,=
202412151919,  201,126.44634247, 37.70738983,  7620,  7620,  7620, 0.0,=
202412151919,  202,127.49446106, 37.48862839,  7620,  7620,  7620, 0.0,=
202412151919,  203,127.48420715, 37.26398849,  7620,  7620,  7620, 0.0,=
202412151919,  211,128.16714478, 38.05986023,  7620,  7620,  7620, 0.0,=
202412151919,  212,127.88043213, 37.68360138,  7620,  7620,  7620, 0.0,=
202412151919,  216,128.98928833, 37.17037964,  1308,  7620,  7620, 6.0,=
202412151919,  217,128.67347717, 37.37731934,  7620,  7620,  7620, 0.0,=
202412151919,  221,128.19433594, 37.15927887,  7620,  7620,  7620, 0.0,=
202412151919,  226,127.73415375, 36.48760986,  1052,  3428,  7620, 2.0,=
202412151919,  232,127.29282379, 36.76216888,  1411,  7620,  7620, 8.0,=
202412151919,  235,126.55744171, 36.32723999,  1290,  4489,  7620, 8.0,=
202412151919,  236,126.92079163, 36.27241898,  1412,  7620,  7620, 8.0,=
202412151919,  239,127.24437714, 36.48522186,  7620,  7620,  7620, 1.0,=
202412151919,  243,126.71656799, 35.72961044,  1530,  7620,  7620, 6.0,=
202412151919,  244,127.28556061, 35.61203003,  1530,  1750,  7620, 8.0,=
202412151919,  245,126.83904266, 35.56336975,  4600,  7620,  7620, 2.0,=
202412151919,  247,127.39652252, 35.42129898,   792,  1036,  1882, 3.0,=
202412151919,  248,127.52030945, 35.65695953,   775,  7620,  7620, 8.0,=
202412151919,  251,126.69699860, 35.42660904,  7620,  7620,  7620, 7.0,=
202412151919,  252,126.47783661, 35.28366089,  1646,  7620,  7620, 3.0,=
202412151919,  253,128.89074707, 35.22980881,  1448,  4746,  7620, 8.0,=
202412151919,  254,127.12860107, 35.37131119,   217,  7620,  7620, 5.0,=
202412151919,  255,128.67260742, 35.22655106,  7620,  7620,  7620, 6.0,=
202412151919,  257,129.02009583, 35.30736923,   470,   518,  7620, 3.0,=
202412151919,  258,127.21225739, 34.76335144,  7620,  7620,  7620, 2.0,=
202412151919,  259,126.78408051, 34.64456940,  1274,  1633,  7620, 1.0,=
202412151919,  260,126.91950989, 34.68886185,  7620,  7620,  7620, 1.0,=
202412151919,  261,126.56906891, 34.55374908,  1310,  7620,  7620, 3.0,=
202412151919,  262,127.27571869, 34.61825943,  7620,  7620,  7620, 0.0,=
202412151919,  263,128.28811646, 35.32257843,   402,  7620,  7620, 4.0,=
202412151919,  264,127.74537659, 35.51137924,   355,  7620,  7620, 7.0,=
202412151919,  266,127.69139862, 34.94340134,   397,  7620,  7620, 7.0,=
202412151919,  268,126.25846100, 34.47296143,  1554,  7620,  7620, 2.0,=
202412151919,  271,128.91448975, 36.94361115,  7620,  7620,  7620, 4.0,=
202412151919,  272,128.51687622, 36.87182999,  1341,  7620,  7620, 6.0,=
202412151919,  273,128.14878845, 36.62726974,  7620,  7620,  7620, 3.0,=
