#START7777
#--------------------------------------------------------------------------------------------------
#  CH_LOW : 하층 운고(m) : 7620m 이면 구름없음
#  CH_MID : 중층 운고(m)
#  CH_TOP : 상층 운고(m)
#  CA_TOT : 전운량(%)
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI,  STN,        LON.,       LAT., CH_LOW,CH_MID,CH_TOP,CA_TOT,=
#        KST,   ID,       (deg),      (deg),    (m),   (m),   (m),   1/8,=
202412150549,   90,128.56472778, 38.25085068,  4668,  7620,  7620, 6.0,=
202412150549,   93,127.75443268, 37.94738007,   944,  7620,  7620, 7.0,=
202412150549,   95,127.30419922, 38.14786911,   883,  7620,  7620, 3.0,=
202412150549,   98,127.06069946, 37.90187836,  7620,  7620,  7620, 0.0,=
202412150549,   99,126.76647949, 37.88589096,  7620,  7620,  7620, 0.0,=
202412150549,  100,128.71833801, 37.67713165,   853,  7620,  7620, 7.0,=
202412150549,  102,124.71237183, 37.97396088,  1402,  7620,  7620, 7.0,=
202412150549,  104,128.85534668, 37.80456161,  7620,  7620,  7620, 0.0,=
202412150549,  105,128.89099121, 37.75146866,  7620,  7620,  7620, 7.0,=
202412150549,  106,129.12432861, 37.50709152,  7620,  7620,  7620, 1.0,=
202412150549,  108,126.96579742, 37.57141876,  7620,  7620,  7620, 5.0,=
202412150549,  112,126.62490082, 37.47771835,  1652,  2055,  7620, 6.0,=
202412150549,  114,127.94658661, 37.33749008,   865,  7620,  7620, 7.0,=
202412150549,  115,130.89863586, 37.48128891,  1274,  1478,  7620, 7.0,=
202412150549,  119,126.98300171, 37.25746155,   129,  7620,  7620, 6.0,=
202412150549,  121,128.45742798, 37.18125916,  1158,  1920,  7620, 7.0,=
202412150549,  127,127.95249939, 36.97045135,   695,  7620,  7620, 3.0,=
202412150549,  129,126.49389648, 36.77658081,  1861,  7620,  7620, 3.0,=
202412150549,  130,129.41278076, 36.99176025,  7620,  7620,  7620, 1.0,=
202412150549,  131,127.44065857, 36.63924026,   213,  1036,  7620, 8.0,=
202412150549,  133,127.37210083, 36.37199020,   643,  7620,  7620, 7.0,=
202412150549,  135,127.99458313, 36.22024918,   403,  7620,  7620, 8.0,=
202412150549,  136,128.70733643, 36.57292938,  1249,  1645,  7620, 8.0,=
202412150549,  137,128.15740967, 36.40837097,   640,   792,  7620, 7.0,=
202412150549,  138,129.38002014, 36.03200912,  1468,  1798,  7620, 1.0,=
202412150549,  140,126.76135254, 36.00529861,  1270,  7620,  7620, 7.0,=
202412150549,  143,128.65295410, 35.87797165,  1998,  7620,  7620, 7.0,=
202412150549,  146,127.11717987, 35.84091949,  1536,  1792,  7620, 7.0,=
202412150549,  152,129.33468628, 35.58237076,  7620,  7620,  7620, 1.0,=
202412150549,  155,128.57281494, 35.17018890,  7620,  7620,  7620, 0.0,=
202412150549,  156,126.89156342, 35.17293930,  1859,  7620,  7620, 5.0,=
202412150549,  159,129.03202820, 35.10467911,  7620,  7620,  7620, 0.0,=
202412150549,  162,128.43560791, 34.84540939,  7620,  7620,  7620, 1.0,=
202412150549,  165,126.38150787, 34.81732178,  1657,  7620,  7620, 6.0,=
202412150549,  168,127.74063110, 34.73928833,  7620,  7620,  7620, 2.0,=
202412150549,  169,125.45104980, 34.68719101,  1785,  7620,  7620, 2.0,=
202412150549,  170,126.70182037, 34.39590073,  1927,  7620,  7620, 7.0,=
202412150549,  172,126.59899902, 35.34823990,  7620,  7620,  7620, 4.0,=
202412150549,  174,127.36940002, 35.02040100,   461,   684,  7620, 4.0,=
202412150549,  177,126.68772125, 36.65758896,   698,  7620,  7620, 6.0,=
202412150549,  181,127.38465881, 36.64001846,   142,  7620,  7620, 1.0,=
202412150549,  184,126.52969360, 33.51411057,  1372,  7620,  7620, 1.0,=
