#START7777
#--------------------------------------------------------------------------------------------------
#  CH_LOW : 하층 운고(m) : 7620m 이면 구름없음
#  CH_MID : 중층 운고(m)
#  CH_TOP : 상층 운고(m)
#  CA_TOT : 전운량(%)
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI,  STN,        LON.,       LAT., CH_LOW,CH_MID,CH_TOP,CA_TOT,=
#        KST,   ID,       (deg),      (deg),    (m),   (m),   (m),   1/8,=
202412152019,   90,128.56472778, 38.25085068,  7620,  7620,  7620, 0.0,=
202412152019,   93,127.75443268, 37.94738007,  7620,  7620,  7620, 0.0,=
202412152019,   95,127.30419922, 38.14786911,  7620,  7620,  7620, 0.0,=
202412152019,   98,127.06069946, 37.90187836,  7620,  7620,  7620, 0.0,=
202412152019,   99,126.76647949, 37.88589096,  7620,  7620,  7620, 0.0,=
202412152019,  100,128.71833801, 37.67713165,   975,  7620,  7620, 1.0,=
202412152019,  102,124.71237183, 37.97396088,  1341,  7620,  7620, 7.0,=
202412152019,  104,128.85534668, 37.80456161,  7620,  7620,  7620, 0.0,=
202412152019,  105,128.89099121, 37.75146866,  7620,  7620,  7620, 0.0,=
202412152019,  106,129.12432861, 37.50709152,  7620,  7620,  7620, 0.0,=
202412152019,  108,126.96579742, 37.57141876,  7620,  7620,  7620, 1.0,=
202412152019,  112,126.62490082, 37.47771835,  7620,  7620,  7620, 0.0,=
202412152019,  114,127.94658661, 37.33749008,  7620,  7620,  7620, 0.0,=
202412152019,  115,130.89863586, 37.48128891,  1658,  7620,  7620, 8.0,=
202412152019,  119,126.98300171, 37.25746155,  7620,  7620,  7620, 1.0,=
202412152019,  121,128.45742798, 37.18125916,  1371,  7620,  7620, 1.0,=
202412152019,  127,127.95249939, 36.97045135,  7620,  7620,  7620, 1.0,=
202412152019,  129,126.49389648, 36.77658081,  1588,  7620,  7620, 1.0,=
202412152019,  130,129.41278076, 36.99176025,  7620,  7620,  7620, 0.0,=
202412152019,  131,127.44065857, 36.63924026,  1249,  7620,  7620, 3.0,=
202412152019,  133,127.37210083, 36.37199020,  7620,  7620,  7620, 0.0,=
202412152019,  135,127.99458313, 36.22024918,   640,  7620,  7620, 7.0,=
202412152019,  136,128.70733643, 36.57292938,  7620,  7620,  7620, 0.0,=
202412152019,  137,128.15740967, 36.40837097,  1188,  7620,  7620, 3.0,=
202412152019,  138,129.38002014, 36.03200912,  1635,  7620,  7620, 7.0,=
202412152019,  140,126.76135254, 36.00529861,  1456,  7620,  7620, 8.0,=
202412152019,  143,128.65295410, 35.87797165,  1654,  7620,  7620, 8.0,=
202412152019,  146,127.11717987, 35.84091949,  1545,  7620,  7620, 7.0,=
202412152019,  152,129.33468628, 35.58237076,  7620,  7620,  7620, 2.0,=
202412152019,  155,128.57281494, 35.17018890,  1304,  4664,  7620, 5.0,=
202412152019,  156,126.89156342, 35.17293930,  7620,  7620,  7620, 3.0,=
202412152019,  159,129.03202820, 35.10467911,  7620,  7620,  7620, 0.0,=
202412152019,  162,128.43560791, 34.84540939,  7620,  7620,  7620, 0.0,=
202412152019,  165,126.38150787, 34.81732178,  1626,  7620,  7620, 8.0,=
202412152019,  168,127.74063110, 34.73928833,  7620,  7620,  7620, 3.0,=
202412152019,  169,125.45104980, 34.68719101,  1012,  7620,  7620, 2.0,=
202412152019,  170,126.70182037, 34.39590073,  1421,  7620,  7620, 7.0,=
202412152019,  172,126.59899902, 35.34823990,  1180,  7620,  7620, 1.0,=
202412152019,  174,127.36940002, 35.02040100,  7620,  7620,  7620, 5.0,=
202412152019,  177,126.68772125, 36.65758896,  7620,  7620,  7620, 3.0,=
202412152019,  181,127.38465881, 36.64001846,  7567,  7620,  7620, 2.0,=
202412152019,  184,126.52969360, 33.51411057,  1362,  7620,  7620, 8.0,=
202412152019,  185,126.16282654, 33.29381943,  1618,  7620,  7620, 8.0,=
202412152019,  188,126.88020325, 33.38676834,  1733,  7620,  7620, 1.0,=
202412152019,  189,126.56529999, 33.24615860,  7620,  7620,  7620, 1.0,=
202412152019,  192,128.04003906, 35.16378021,  1554,  7620,  7620, 7.0,=
202412152019,  201,126.44634247, 37.70738983,  7620,  7620,  7620, 0.0,=
202412152019,  202,127.49446106, 37.48862839,  7620,  7620,  7620, 0.0,=
202412152019,  203,127.48420715, 37.26398849,  7620,  7620,  7620, 0.0,=
202412152019,  211,128.16714478, 38.05986023,  7620,  7620,  7620, 0.0,=
202412152019,  212,127.88043213, 37.68360138,  7620,  7620,  7620, 0.0,=
202412152019,  216,128.98928833, 37.17037964,  7620,  7620,  7620, 1.0,=
202412152019,  217,128.67347717, 37.37731934,  7620,  7620,  7620, 0.0,=
202412152019,  221,128.19433594, 37.15927887,  7620,  7620,  7620, 0.0,=
202412152019,  226,127.73415375, 36.48760986,  1443,  7620,  7620, 1.0,=
202412152019,  232,127.29282379, 36.76216888,  7620,  7620,  7620, 3.0,=
202412152019,  235,126.55744171, 36.32723999,  1468,  7620,  7620, 8.0,=
202412152019,  236,126.92079163, 36.27241898,  1653,  7620,  7620, 8.0,=
202412152019,  239,127.24437714, 36.48522186,  1285,  1509,  7620, 3.0,=
202412152019,  243,126.71656799, 35.72961044,  1604,  7620,  7620, 7.0,=
202412152019,  244,127.28556061, 35.61203003,  1363,  7620,  7620, 8.0,=
202412152019,  245,126.83904266, 35.56336975,  1500,  7620,  7620, 7.0,=
202412152019,  247,127.39652252, 35.42129898,  1097,  1280,  7620, 2.0,=
202412152019,  248,127.52030945, 35.65695953,   945,  1270,  7620, 8.0,=
202412152019,  251,126.69699860, 35.42660904,  1508,  7620,  7620, 7.0,=
202412152019,  252,126.47783661, 35.28366089,  3209,  7620,  7620, 3.0,=
202412152019,  253,128.89074707, 35.22980881,  7620,  7620,  7620, 0.0,=
202412152019,  254,127.12860107, 35.37131119,   452,  7620,  7620, 4.0,=
202412152019,  257,129.02009583, 35.30736923,   394,  7620,  7620, 5.0,=
202412152019,  258,127.21225739, 34.76335144,  7620,  7620,  7620, 6.0,=
202412152019,  259,126.78408051, 34.64456940,   944,  7620,  7620, 6.0,=
202412152019,  260,126.91950989, 34.68886185,  1517,  7620,  7620, 7.0,=
202412152019,  261,126.56906891, 34.55374908,  1764,  7620,  7620, 6.0,=
202412152019,  262,127.27571869, 34.61825943,  1110,  7620,  7620, 6.0,=
202412152019,  263,128.28811646, 35.32257843,   506,  7620,  7620, 4.0,=
202412152019,  264,127.74537659, 35.51137924,   395,  7620,  7620, 8.0,=
