#START7777
#--------------------------------------------------------------------------------------------------
#  CH_LOW : 하층 운고(m) : 7620m 이면 구름없음
#  CH_MID : 중층 운고(m)
#  CH_TOP : 상층 운고(m)
#  CA_TOT : 전운량(%)
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI,  STN,        LON.,       LAT., CH_LOW,CH_MID,CH_TOP,CA_TOT,=
#        KST,   ID,       (deg),      (deg),    (m),   (m),   (m),   1/8,=
202412152005,   90,128.56472778, 38.25085068,  7620,  7620,  7620, 0.0,=
202412152005,   93,127.75443268, 37.94738007,  7620,  7620,  7620, 0.0,=
202412152005,   95,127.30419922, 38.14786911,  7620,  7620,  7620, 0.0,=
202412152005,   98,127.06069946, 37.90187836,  7620,  7620,  7620, 0.0,=
202412152005,   99,126.76647949, 37.88589096,  7620,  7620,  7620, 0.0,=
202412152005,  100,128.71833801, 37.67713165,   975,  7620,  7620, 1.0,=
202412152005,  102,124.71237183, 37.97396088,  1371,  7620,  7620, 7.0,=
202412152005,  104,128.85534668, 37.80456161,  7620,  7620,  7620, 0.0,=
202412152005,  105,128.89099121, 37.75146866,  7620,  7620,  7620, 0.0,=
202412152005,  106,129.12432861, 37.50709152,  7620,  7620,  7620, 0.0,=
202412152005,  108,126.96579742, 37.57141876,  7620,  7620,  7620, 1.0,=
202412152005,  112,126.62490082, 37.47771835,  7620,  7620,  7620, 0.0,=
202412152005,  114,127.94658661, 37.33749008,  7620,  7620,  7620, 0.0,=
202412152005,  115,130.89863586, 37.48128891,  1758,  7620,  7620, 8.0,=
202412152005,  119,126.98300171, 37.25746155,  7620,  7620,  7620, 1.0,=
202412152005,  121,128.45742798, 37.18125916,  1371,  7620,  7620, 1.0,=
202412152005,  127,127.95249939, 36.97045135,  7620,  7620,  7620, 1.0,=
202412152005,  129,126.49389648, 36.77658081,  7620,  7620,  7620, 2.0,=
202412152005,  130,129.41278076, 36.99176025,  7620,  7620,  7620, 0.0,=
202412152005,  131,127.44065857, 36.63924026,  1219,  7620,  7620, 4.0,=
202412152005,  133,127.37210083, 36.37199020,  7620,  7620,  7620, 3.0,=
202412152005,  135,127.99458313, 36.22024918,   640,  7620,  7620, 8.0,=
202412152005,  136,128.70733643, 36.57292938,  7620,  7620,  7620, 0.0,=
202412152005,  137,128.15740967, 36.40837097,  1188,  7620,  7620, 3.0,=
202412152005,  138,129.38002014, 36.03200912,  1364,  1608,  7620, 7.0,=
202412152005,  140,126.76135254, 36.00529861,  1445,  7620,  7620, 8.0,=
202412152005,  143,128.65295410, 35.87797165,  1506,  7620,  7620, 7.0,=
202412152005,  146,127.11717987, 35.84091949,  1453,  7620,  7620, 7.0,=
202412152005,  152,129.33468628, 35.58237076,  7620,  7620,  7620, 4.0,=
202412152005,  155,128.57281494, 35.17018890,  7620,  7620,  7620, 3.0,=
202412152005,  156,126.89156342, 35.17293930,  1097,  7620,  7620, 3.0,=
202412152005,  159,129.03202820, 35.10467911,  7620,  7620,  7620, 0.0,=
202412152005,  162,128.43560791, 34.84540939,  7620,  7620,  7620, 0.0,=
202412152005,  165,126.38150787, 34.81732178,  1415,  7620,  7620, 7.0,=
202412152005,  168,127.74063110, 34.73928833,  1229,  7620,  7620, 6.0,=
202412152005,  169,125.45104980, 34.68719101,  1164,  4406,  7620, 7.0,=
202412152005,  170,126.70182037, 34.39590073,  1523,  7620,  7620, 6.0,=
202412152005,  172,126.59899902, 35.34823990,  7620,  7620,  7620, 1.0,=
202412152005,  174,127.36940002, 35.02040100,  1046,  7620,  7620, 5.0,=
202412152005,  177,126.68772125, 36.65758896,  7620,  7620,  7620, 4.0,=
202412152005,  181,127.38465881, 36.64001846,  7620,  7620,  7620, 1.0,=
202412152005,  184,126.52969360, 33.51411057,  1527,  7620,  7620, 8.0,=
202412152005,  185,126.16282654, 33.29381943,  1706,  7620,  7620, 8.0,=
202412152005,  188,126.88020325, 33.38676834,  1536,  7569,  7620, 2.0,=
202412152005,  189,126.56529999, 33.24615860,  7620,  7620,  7620, 1.0,=
202412152005,  192,128.04003906, 35.16378021,  1584,  7620,  7620, 7.0,=
202412152005,  201,126.44634247, 37.70738983,  7620,  7620,  7620, 0.0,=
202412152005,  202,127.49446106, 37.48862839,  7620,  7620,  7620, 0.0,=
202412152005,  203,127.48420715, 37.26398849,  7620,  7620,  7620, 0.0,=
202412152005,  211,128.16714478, 38.05986023,  7620,  7620,  7620, 0.0,=
202412152005,  212,127.88043213, 37.68360138,  7620,  7620,  7620, 0.0,=
202412152005,  216,128.98928833, 37.17037964,  7620,  7620,  7620, 1.0,=
202412152005,  217,128.67347717, 37.37731934,  7620,  7620,  7620, 0.0,=
202412152005,  221,128.19433594, 37.15927887,  7620,  7620,  7620, 0.0,=
202412152005,  226,127.73415375, 36.48760986,  7620,  7620,  7620, 0.0,=
202412152005,  232,127.29282379, 36.76216888,  7620,  7620,  7620, 7.0,=
202412152005,  235,126.55744171, 36.32723999,  1498,  7620,  7620, 8.0,=
202412152005,  236,126.92079163, 36.27241898,  1580,  7620,  7620, 7.0,=
202412152005,  239,127.24437714, 36.48522186,  1458,  7620,  7620, 1.0,=
202412152005,  243,126.71656799, 35.72961044,  1559,  7620,  7620, 7.0,=
202412152005,  244,127.28556061, 35.61203003,  1200,  7620,  7620, 8.0,=
202412152005,  245,126.83904266, 35.56336975,  1673,  7620,  7620, 7.0,=
202412152005,  247,127.39652252, 35.42129898,  1066,  1280,  7620, 2.0,=
202412152005,  248,127.52030945, 35.65695953,   842,  4409,  7620, 8.0,=
202412152005,  251,126.69699860, 35.42660904,  1159,  7620,  7620, 6.0,=
202412152005,  252,126.47783661, 35.28366089,  7620,  7620,  7620, 0.0,=
202412152005,  253,128.89074707, 35.22980881,  7620,  7620,  7620, 1.0,=
202412152005,  254,127.12860107, 35.37131119,  7620,  7620,  7620, 1.0,=
202412152005,  255,128.67260742, 35.22655106,  7620,  7620,  7620, 2.0,=
202412152005,  257,129.02009583, 35.30736923,   400,  7620,  7620, 5.0,=
202412152005,  258,127.21225739, 34.76335144,  1355,  1457,  1569, 4.0,=
202412152005,  259,126.78408051, 34.64456940,   990,  1274,  1749, 7.0,=
202412152005,  260,126.91950989, 34.68886185,  1021,  7620,  7620, 7.0,=
202412152005,  261,126.56906891, 34.55374908,  1048,  7620,  7620, 8.0,=
202412152005,  262,127.27571869, 34.61825943,  1387,  7620,  7620, 2.0,=
202412152005,  263,128.28811646, 35.32257843,  7620,  7620,  7620, 6.0,=
202412152005,  264,127.74537659, 35.51137924,   398,  7620,  7620, 8.0,=
202412152005,  266,127.69139862, 34.94340134,   326,  7620,  7620, 6.0,=
202412152005,  268,126.25846100, 34.47296143,  1581,  7620,  7620, 7.0,=
202412152005,  271,128.91448975, 36.94361115,  7620,  7620,  7620, 0.0,=
202412152005,  272,128.51687622, 36.87182999,  1249,  7620,  7620, 7.0,=
202412152005,  273,128.14878845, 36.62726974,  7620,  7620,  7620, 0.0,=
202412152005,  276,129.04005432, 36.43510056,  7620,  7620,  7620, 0.0,=
202412152005,  277,129.40925598, 36.53337097,  7620,  7620,  7620, 0.0,=
202412152005,  278,128.68864441, 36.35609818,  7620,  7620,  7620, 5.0,=
202412152005,  279,128.32055664, 36.13055038,  1249,  7620,  7620, 8.0,=
202412152005,  281,128.95140076, 35.97742081,  1466,  7620,  7620, 8.0,=
202412152005,  283,129.20123291, 35.81747055,  7620,  7620,  7620, 4.0,=
202412152005,  284,127.90989685, 35.66738892,  1368,  7620,  7620, 5.0,=
202412152005,  285,128.16993713, 35.56504822,  3847,  7620,  7620, 2.0,=
202412152005,  288,128.74412537, 35.49147034,  1615,  7620,  7620, 3.0,=
202412152005,  289,127.87909698, 35.41299820,  7620,  7620,  7620, 5.0,=
202412152005,  294,128.60458374, 34.88817978,  1432,  7620,  7620, 7.0,=
202412152005,  295,127.92640686, 34.81661987,  1287,  7620,  7620, 8.0,=
202412152005,  296,128.96023560, 35.21778107,  1731,  7620,  7620, 6.0,=
#7777END
